Question,Answer
What is the office timing?,Office timing is 9 AM to 6 PM Monday to Friday.
How do I apply for leave?,Submit a leave request through the HR portal.
Who should I contact for IT support?,Contact the IT Helpdesk team.
Where can I access company policies?,Company policies are available on the employee portal.
How do I reset my password?,Use the password reset option on the login page.
How can I update my profile information?,Update your details through the employee portal.
What should I do if my laptop is not working?,Contact IT support and create a support ticket.
How can I check my attendance?,Attendance records are available in the HR management system.
How do I download my payslip?,Payslips can be downloaded from the payroll portal.
Who approves leave requests?,Your reporting manager approves leave requests.
How can I contact HR?,You can contact HR through email or the employee portal.
What is the dress code policy?,Employees are expected to follow the company dress code guidelines.
How do I request work from home?,Submit a work-from-home request through the HR portal.
How can I access training materials?,Training materials are available on the learning management system.
What should I do if I forget my employee ID?,Contact HR for assistance.
How do I report a technical issue?,Create a ticket through the helpdesk system.
Where can I find holiday calendars?,Holiday calendars are available on the employee portal.
How can I change my password?,Use the password change option in your account settings.
What are the company working days?,Working days are Monday through Friday.
How do I update bank account details?,Update them through the payroll section of the employee portal.
How can I apply for reimbursement?,Submit reimbursement requests through the finance portal.
Where can I find project documentation?,Project documentation is stored in the company knowledge base.
How do I request software installation?,Submit a software installation request to IT support.
How can I raise a complaint?,Use the grievance section in the employee portal.
What is the notice period policy?,Refer to the company policy document for notice period details.
How do I book a meeting room?,Use the meeting room booking system.
How can I access company email?,Use your employee credentials to log in to the company email service.
What should I do if my account is locked?,Contact IT support to unlock your account.
How do I submit timesheets?,Timesheets can be submitted through the project management portal.
Where can I find company announcements?,Company announcements are posted on the employee portal.
How can i access the internship portal?,Access the internship portal using your company credentials.
How can i access the internship portal?,Access the internship portal using your company credentials.
